source_name	source_url	slug	content_type	extension
musab-ibn-umair.mp3	https://drive.usercontent.google.com/download?id=1IvkfF1P3mkPFXLcz5_LHKhpmh24uSs5P&export=download&confirm=t	first-envoy-mus-ab-islam	audio/mpeg	mp3
conquest-of-makkah.mp3	https://drive.usercontent.google.com/download?id=1yQPJgYevDI3pPxz6D5uqk2VOeNDXdSVn&export=download&confirm=t	grand-opening-conquest-makkah-islam	audio/mpeg	mp3
well-of-rumah.mp3	https://drive.usercontent.google.com/download?id=1JzEjo0tepOq2zDgFCdW5arSSW7WRZvZh&export=download&confirm=t	well-rumah-eternal-charity-islam	audio/mpeg	mp3
