source_name	source_url	slug	content_type	extension
শবে_মিরাজ_মহান_আল্লাহর_দিদার_Studio.mp3	https://files.manuscdn.com/user_upload_by_module/session_file/310519663909170791/CDpNsDWgUsiJzkeO.mp3	laylat-al-miraj-divine-journey	audio/mpeg	mp3
লাইলাতুল_কদর_হাজার_মাসের_শ্রেষ্ঠ_রাত_Studio.mp3	https://files.manuscdn.com/user_upload_by_module/session_file/310519663909170791/KOIteBhxPFpfcGiF.mp3	lailatul-qadr-night-of-power	audio/mpeg	mp3
হযরত_মুসা_(আ(1).mp3	https://files.manuscdn.com/user_upload_by_module/session_file/310519663909170791/hqcHfELvKWEWknNc.mp3	prophet-musa-story-islam	audio/mpeg	mp3
হযরত_ইউসুফ_(আ(2).mp3	https://files.manuscdn.com/user_upload_by_module/session_file/310519663909170791/rVmUMahHedIuoqUr.mp3	prophet-yusuf-story-islam	audio/mpeg	mp3
মক্কা_বিজয়ের_মহান_মহিমা__প্রতিশোধ_নয়,_ক্ষমার_মাধ্য.mp3	https://files.manuscdn.com/user_upload_by_module/session_file/310519663909170791/aUDtszUTxLgmHtPH.mp3	manifest-victory-patience-divine-islam	audio/mpeg	mp3
ইবনে_আব্বাস_(রা.mp3	https://files.manuscdn.com/user_upload_by_module/session_file/310519663909170791/UpLMkzcOdcAJRaVK.mp3	scholar-ummah-life-adab-islam	audio/mpeg	mp3
হযরত_সুলায়মান_আ_ক্ষমতা_Studio.mp3	https://files.manuscdn.com/user_upload_by_module/session_file/310519663909170791/eCsEjuTfmQufLjpL.mp3	prophet-sulayman-story-islam	audio/mpeg	mp3
